title,"latitude,"," longitude,",description
Austria,"47.641247,","14.679842,",$1648108.00
Belgium,"50.660102,","4.613593,",$4751824.00
Bulgaria,"42.742122,","25.357812,",$251566.00
Croatia,"45.601693,","16.150788,",$210079.00
Czech Republic,"49.894625,","15.116524,",$464237.00
Denmark,"55.922559,","9.158603,",$3396860.00
Finland,"64.908272,","27.153312,",$2276178.00
France,"46.328415,","2.184676,",$14510197.00
Germany,"50.626081,","10.197457,",$20303785.00
Greece,"39.204718,","21.904015,",$678260.00
Hungary,"46.868483,","19.209247,",$509906.00
Iceland,"64.658486,","-18.79955,",$281887.00
Italy,"42.599102,","12.523385,",$3834276.00
Lebanon,"33.916747,","35.822943,",$225896.00
Netherlands,"52.346105,","5.597511,",$4525341.00
Nigeria,"10.418312,","8.817882,",$65739.00
Norway,"61.078281,","9.132815,",$3821709.00
Poland,"52.251634,","19.671588,",$2556864.00
Portugal,"39.161304,","-7.792997,",$966292.00
Serbia and Montenegro,"44.484923,","20.809756,",$55172.00
Slovakia,"48.678772,","19.380847,",$134801.00
Slovenia,"46.040339,","14.881159,",$140025.00
South Africa,"-29.601071,","23.201167,",$1181692.00
Spain,"40.092137,","-2.690506,",$10483434.00
Sweden,"61.90679,","15.266552,",$7717011.00
Turkey,"39.479113,","35.212783,",$3346835.00
Ukraine,"49.082051,","29.352788,",$671717.00
United Arab Emirates,"23.182489,","53.883551,",$1980129.00
United Kingdom,"53.598874,","-1.517437,",$37332095.00
Argentina,"-32.93478,","-66.904948,",$2365803.00
Bolivia,"-15.803657,","-64.397442,",$115391.00
Brazil,"-10.172902,","-50.979355,",$10152708.00
Chile,"-26.842127,","-69.837156,",$950888.00
Colombia,"3.212417,","-72.097214,",$2124148.00
Ecuador,"-2.040573,","-77.444466,",$504498.00
Mexico,"22.571871,","-102.248842,",$13913267.00
Peru,"-8.730505,","-76.69919,",$890985.00
Uruguay,"-33.227503,","-56.043413,",$185791.00
Venezuela,"6.35045,","-66.240536,",$1692559.00
Australia,"-26.601282,","133.383434,",$32624716.00
Hong Kong,"22.39005,","114.153843,",$2628593.00
India,"20.809589,","78.439981,",$732355.00
Japan,"35.776187,","137.708838,",$5071758.00
Malaysia,"4.363615,","102.127969,",$2201209.00
New Zealand,"-44.132568,","170.733345,",$4736689.00
Philippines,"12.154949,","123.364174,",$3295973.00
Russia/CIS,"62.246622,","83.898596,",$13405279.00
Singapore,"1.337334,","103.81472,",$3729893.00
South Korea,"36.152041,","127.872639,",$3951587.00
Thailand,"15.988801,","101.645638,",$2119783.00
China,"31.974392,","105.25883,",$27049819.00
United States,"38.939888,","-101.200124,",$408010692.00